datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2024-08-29 11:30:01,900373,Jasminweg,51.45729,7.14757,94.478,19.275,0,0,347,,,
2024-08-29 11:45:01,900373,Jasminweg,51.45729,7.14757,94.478,19.291,0,0,346,,,
2024-08-29 12:00:00,900373,Jasminweg,51.45729,7.14757,94.479,19.319,0,0,346,3.746,27.3,46.3
2024-08-29 12:15:01,900373,Jasminweg,51.45729,7.14757,94.478,19.341,0,0,342,3.734,27.47,46.3
2024-08-29 12:30:01,900373,Jasminweg,51.45729,7.14757,94.478,19.359,0,0,340,,,
2024-08-29 12:45:01,900373,Jasminweg,51.45729,7.14757,94.478,19.356,0,0,342,,,
2024-08-29 13:00:00,900373,Jasminweg,51.45729,7.14757,94.477,19.397,0,0,347,3.748,27.87,46.4
2024-08-29 13:15:01,900373,Jasminweg,51.45729,7.14757,94.478,19.391,0,0,341,3.731,28.04,46.5
2024-08-29 13:30:01,900373,Jasminweg,51.45729,7.14757,94.476,19.45,0,0,342,,,
2024-08-29 13:45:01,900373,Jasminweg,51.45729,7.14757,94.478,19.456,0,0,342,,,
2024-08-29 14:00:00,900373,Jasminweg,51.45729,7.14757,94.478,19.425,0,0,342,3.752,28.24,46.5
2024-08-29 14:15:01,900373,Jasminweg,51.45729,7.14757,94.478,19.534,0,0,339,3.732,28.36,46.5
2024-08-29 14:30:01,900373,Jasminweg,51.45729,7.14757,94.478,19.481,0,0,341,,,
2024-08-29 14:45:01,900373,Jasminweg,51.45729,7.14757,94.477,19.528,0,0,337,,,
2024-08-29 15:00:00,900373,Jasminweg,51.45729,7.14757,94.477,19.503,0,0,333,3.746,28.68,46.6
2024-08-29 15:15:01,900373,Jasminweg,51.45729,7.14757,94.477,19.65,0,0,339,3.734,28.81,46.6
2024-08-29 15:30:01,900373,Jasminweg,51.45729,7.14757,94.476,19.794,0,0,335,,,
2024-08-29 15:45:01,900373,Jasminweg,51.45729,7.14757,94.477,19.863,0,0,335,,,
2024-08-29 16:00:00,900373,Jasminweg,51.45729,7.14757,94.476,19.85,0,0,338,3.751,28.96,46.6
2024-08-29 16:15:01,900373,Jasminweg,51.45729,7.14757,94.476,19.891,0,0,337,3.736,28.93,46.6
2024-08-29 16:30:01,900373,Jasminweg,51.45729,7.14757,94.476,19.966,0,0,335,,,
2024-08-29 16:45:01,900373,Jasminweg,51.45729,7.14757,94.476,19.941,0,0,333,,,
2024-08-29 17:00:00,900373,Jasminweg,51.45729,7.14757,94.476,19.997,0,0,333,3.751,28.48,46.6
2024-08-29 17:15:01,900373,Jasminweg,51.45729,7.14757,94.476,19.988,0,0,334,3.732,28.37,46.5
2024-08-29 17:30:01,900373,Jasminweg,51.45729,7.14757,94.476,19.947,0,0,335,,,
2024-08-29 17:45:01,900373,Jasminweg,51.45729,7.14757,94.476,20.013,0,0,339,,,
2024-08-29 18:00:00,900373,Jasminweg,51.45729,7.14757,94.476,20.025,0,0,335,3.749,27.87,46.5
2024-08-29 18:15:01,900373,Jasminweg,51.45729,7.14757,94.475,19.988,0,0,343,3.732,27.78,46.4
2024-08-29 18:30:01,900373,Jasminweg,51.45729,7.14757,94.477,20.009,0,0,337,,,
2024-08-29 18:45:01,900373,Jasminweg,51.45729,7.14757,94.476,20.009,0,0,339,,,
2024-08-29 19:00:00,900373,Jasminweg,51.45729,7.14757,94.475,19.991,0,0,339,3.749,27.16,46.3
2024-08-29 19:15:01,900373,Jasminweg,51.45729,7.14757,94.476,20.05,0,0,341,3.734,27.03,46.3
2024-08-29 19:30:01,900373,Jasminweg,51.45729,7.14757,94.475,20.003,0,0,342,,,
2024-08-29 19:45:01,900373,Jasminweg,51.45729,7.14757,94.475,19.991,0,0,343,,,
2024-08-29 20:00:00,900373,Jasminweg,51.45729,7.14757,94.475,20.016,0,0,342,3.749,26.16,46.2
2024-08-29 20:15:01,900373,Jasminweg,51.45729,7.14757,94.475,20.031,0,0,342,3.729,25.94,46.2
2024-08-29 20:30:01,900373,Jasminweg,51.45729,7.14757,94.475,19.966,0,0,337,,,
2024-08-29 20:45:01,900373,Jasminweg,51.45729,7.14757,94.475,20.028,0,0,339,,,
2024-08-29 21:00:00,900373,Jasminweg,51.45729,7.14757,94.475,19.981,0,0,335,3.751,25.15,46
2024-08-29 21:15:01,900373,Jasminweg,51.45729,7.14757,94.474,20.038,0,0,343,3.729,24.97,46
2024-08-29 21:30:01,900373,Jasminweg,51.45729,7.14757,94.475,20.066,0,0,344,,,
2024-08-29 21:45:01,900373,Jasminweg,51.45729,7.14757,94.475,20.081,0,0,346,,,
2024-08-29 22:00:00,900373,Jasminweg,51.45729,7.14757,94.475,20.022,0,0,346,3.746,24.45,46
2024-08-29 22:15:01,900373,Jasminweg,51.45729,7.14757,94.474,20.034,0,0,342,3.729,24.35,45.9
2024-08-29 22:30:01,900373,Jasminweg,51.45729,7.14757,94.475,20.028,0,0,341,,,
2024-08-29 22:45:01,900373,Jasminweg,51.45729,7.14757,94.474,20.053,0,0,344,,,
2024-08-29 23:00:00,900373,Jasminweg,51.45729,7.14757,94.474,20.031,0,0,348,3.742,23.87,45.9
2024-08-29 23:15:01,900373,Jasminweg,51.45729,7.14757,94.474,20.056,0,0,346,3.727,23.73,45.8
2024-08-29 23:30:01,900373,Jasminweg,51.45729,7.14757,94.474,20.063,0,0,347,,,
2024-08-29 23:45:01,900373,Jasminweg,51.45729,7.14757,94.474,20.072,0,0,347,,,
